source,source_type,mentions,countries,confidence
NGO Korea Future,named (unclassified),1,1,medium
Unified Human Rights Database,named (unclassified),1,1,medium
In June the UN Human Rights Office in Seoul,named (unclassified),1,1,medium
Daily NK,named (unclassified),1,1,medium
EU Survey of Statistics on Income and Living Conditions,named (unclassified),1,1,medium
Statistics Norway,named (unclassified),1,1,medium
Oslo Synagogue,named (unclassified),1,1,medium
Oman Center for Human Rights and Democracy,named (unclassified),1,1,medium
Oman Human Rights Commission,named (unclassified),1,1,medium
Gulf Center for Human Rights,named (unclassified),1,1,medium
Oman Daily,named (unclassified),1,1,medium
Human Rights Council of Balochistan,named (unclassified),1,1,medium
Deputy Prime Minister and Foreign Minister Ishaq Dar,named (unclassified),1,1,medium
Mahrang Baloch,named (unclassified),1,1,medium
World Report,named (unclassified),1,1,medium
Charges Media and NGOs,named (unclassified),1,1,medium
DAHAS PH,named (unclassified),1,1,medium
In May the NGO Center for Media Freedom and Responsibility,named (unclassified),1,1,medium
Moro Islamic Liberation Front,named (unclassified),1,1,medium
Union of Jewish Communities,named (unclassified),1,1,medium
André Ventura,named (unclassified),1,1,medium
Qatar University,named (unclassified),1,1,medium
Migrant Rights,named (unclassified),1,1,medium
Search and Follow-Up Department,named (unclassified),1,1,medium
NGO CAD,named (unclassified),1,1,medium
Agence France-Presse,named (unclassified),1,1,medium
Roberto Lissassi,named (unclassified),1,1,medium
Association of Roma Lawyers RomaJust,named (unclassified),1,1,medium
Wiesel Institute,named (unclassified),1,1,medium
Philip Obaji Jr,named (unclassified),1,1,medium
Izhevsk Boom,named (unclassified),1,1,medium
UN High Commissioner for Refugees,named (unclassified),1,1,medium
Institute for Jewish Policy Research,named (unclassified),1,1,medium
Russian Jewish Congress,named (unclassified),1,1,medium
University of Toronto,named (unclassified),1,1,medium
local civil society organization,unnamed/generic,1,1,low
Department of Labour,named (unclassified),1,1,medium
local human rights activists,unnamed/generic,1,1,low
UN Special Rapporteur on Human Rights Defenders Mary Lawlor,named (unclassified),1,1,medium
NGO Sanad,named (unclassified),1,1,medium
Together for Justice,named (unclassified),1,1,medium
Prisoners of Conscience,named (unclassified),1,1,medium
King Salman Humanitarian Aid and Relief Center,named (unclassified),1,1,medium
NGO Institute for Monitoring Peace and Cultural Tolerance in School Education,named (unclassified),1,1,medium
Jewish Community Belgrade,named (unclassified),1,1,medium
Defense for Children International Sierra Leone (DCISL),named (unclassified),1,1,medium
local academics,unnamed/generic,1,1,low
Slovak Republic,named (unclassified),1,1,medium
UN Assistance Mission in Somalia,named (unclassified),1,1,medium
Event Data (ACLED),named (unclassified),1,1,medium
UN Human Rights Protection Group,named (unclassified),1,1,medium
Media NGOs,named (unclassified),1,1,medium
In January the South African Human Rights Commission (SAHRC),named (unclassified),1,1,medium
Independent Police Investigative Directorate,named (unclassified),1,1,medium
South African Jewish Board of Deputies (SAJBD),named (unclassified),1,1,medium
In March the National Union of Media Workers,named (unclassified),1,1,medium
Ministry of Oceans and Fisheries,named (unclassified),1,1,medium
Labor Ministry,named (unclassified),1,1,medium
Ministry of Unification,named (unclassified),1,1,medium
NGO End Blasphemy Laws,named (unclassified),1,1,medium
African Futures,named (unclassified),1,1,medium
Small Arms Survey,named (unclassified),1,1,medium
Federation of Jewish Communities of Spain,named (unclassified),1,1,medium
Human Rights Commission of Sri Lanka (HRCSL),named (unclassified),1,1,medium
Ravana Lanka News,named (unclassified),1,1,medium
Office on Missing Persons (OMP),named (unclassified),1,1,medium
Local NGO Center for Human Rights and Development,named (unclassified),1,1,medium
UN Fact- Finding Mission for Sudan,named (unclassified),1,1,medium
Sudanese Journalists Syndicate,named (unclassified),1,1,medium
Horn of Africa,named (unclassified),1,1,medium
UN Fact-Finding Mission,named (unclassified),1,1,medium
local civil society groups,unnamed/generic,1,1,low
UN Fact- Finding Mission,named (unclassified),1,1,medium
Ernst Gefferie,named (unclassified),1,1,medium
Security Service,named (unclassified),1,1,medium
Psychological Defense Agency (MPF),named (unclassified),1,1,medium
International Trade Union Confederation (ITUC),named (unclassified),1,1,medium
National Council for Crime Prevention,named (unclassified),1,1,medium
Secretary-General for Children and Armed Conflict,named (unclassified),1,1,medium
Turkish President Erdogan,named (unclassified),1,1,medium
Prohibition of Chemical Weapons,named (unclassified),1,1,medium
Syrian Observatory for Human Rights,named (unclassified),1,1,medium
Baath Party,named (unclassified),1,1,medium
numerous ngos,unnamed/generic,1,1,low
Khatlon Regional Court,named (unclassified),1,1,medium
local trade union,unnamed/generic,1,1,low
international trade unions,unnamed/generic,1,1,low
Prime Minister,named (unclassified),1,1,medium
C NGOs,named (unclassified),1,1,medium
Duay Jai,named (unclassified),1,1,medium
International Transport Workers Federation,named (unclassified),1,1,medium
NGOs Wartani and Duayjai,named (unclassified),1,1,medium
NGO Thai Lawyers for Human Rights,named (unclassified),1,1,medium
Department of Corrections,named (unclassified),1,1,medium
Attorney General,named (unclassified),1,1,medium
Prime Minister Paetongtarn Shinawatra,named (unclassified),1,1,medium
Inter-American Development Bank,named (unclassified),1,1,medium
National Union of Tunisian Journalists (SNJT),named (unclassified),1,1,medium
UN Development Program,named (unclassified),1,1,medium
World Organization Against Torture (OMCT),named (unclassified),1,1,medium
NGO Syrians for Truth and Justice,named (unclassified),1,1,medium
Syrian Arab Republic,named (unclassified),1,1,medium
Ozak Tekstil,named (unclassified),1,1,medium
Ministry of Labor and Social Security,named (unclassified),1,1,medium
Health and Work Safety Assembly,named (unclassified),1,1,medium
Human Rights Association,named (unclassified),1,1,medium
domestic human rights organizations,unnamed/generic,1,1,low
UN Committee Against Torture,named (unclassified),1,1,medium
OSH Enforcement The Ministry of Foreign Affairs,named (unclassified),1,1,medium
Africa Centre for Media Excellence,named (unclassified),1,1,medium
NGO Platform for Labor Action (PLA),named (unclassified),1,1,medium
OHCHR UN Human Rights Monitoring Mission in Ukraine (HRMMU),named (unclassified),1,1,medium
Ministry of Reintegration,named (unclassified),1,1,medium
Some POWs,named (unclassified),1,1,medium
NGO Equidem,named (unclassified),1,1,medium
NGO MENA Rights Group,named (unclassified),1,1,medium
New Arab and The Independent,named (unclassified),1,1,medium
Health and Safety Executive (HSE),named (unclassified),1,1,medium
Bermuda Police Service,named (unclassified),1,1,medium
NGO Community Security Trust,named (unclassified),1,1,medium
National Israel Council,named (unclassified),1,1,medium
International Holocaust Remembrance Alliance,named (unclassified),1,1,medium
Employment Ministry and Labor Relations,named (unclassified),1,1,medium
UN Independent International Fact-Finding Mission,named (unclassified),1,1,medium
Use of Lethal Force (MUFLVEN),named (unclassified),1,1,medium
Bolivarian Republic of Venezuela (FFM),named (unclassified),1,1,medium
CICPC Director Douglas Rico,named (unclassified),1,1,medium
Diosdado Cabello Rondón and Rico,named (unclassified),1,1,medium
Special Rapporteur for Freedom of Expression,named (unclassified),1,1,medium
Espacio Público,named (unclassified),1,1,medium
Alexander Mataban,named (unclassified),1,1,medium
domestic civil society organizations,unnamed/generic,1,1,low
several ngos,unnamed/generic,1,1,low
Coalition for Human Rights and Democracy,named (unclassified),1,1,medium
Study of Latin America,named (unclassified),1,1,medium
International Criminal Court,judicial,1,1,high
Foro Penal,named (unclassified),1,1,medium
NGO Fundaredes,named (unclassified),1,1,medium
other ngos,unnamed/generic,1,1,low
Confederation of Israelite Associations in Venezuela,named (unclassified),1,1,medium
Ho Chi Minh City Legal News,named (unclassified),1,1,medium
General Statistics Office of Vietnam,named (unclassified),1,1,medium
Coercion Activists,named (unclassified),1,1,medium
Justice for Yemen Pact,named (unclassified),1,1,medium
UN Panel of Experts on Yemen (POE),named (unclassified),1,1,medium
Yemeni Journalists Syndicate,named (unclassified),1,1,medium
Organization for Economic Cooperation and Development,named (unclassified),1,1,medium
European Centre for Democracy and Human Rights,named (unclassified),1,1,medium
Jerusalem Post,named (unclassified),1,1,medium
Police Public Complaints Commission,named (unclassified),1,1,medium
Center for Natural Resource Governance,named (unclassified),1,1,medium
Zimbabwe Economic Policy Analysis and Research Unit,named (unclassified),1,1,medium
Vendors Initiative for Sustainable Economic Transformation,named (unclassified),1,1,medium
NGO Zimbabwe Lawyers for Human Rights,named (unclassified),1,1,medium
